image,image_timestamp,pose_timestamp,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
none,none,1.7550924758654758e+18,-100.04638671875,-47.13474655151367,-41.55351638793945,409.1487121582031,-57.702178955078125,-113.03620147705078,-693.0891723632812,469.0434265136719,114.62105560302734
none,none,1.755092475875476e+18,-96.6223373413086,-49.68751525878906,-41.731319427490234,410.8033447265625,-58.03483963012695,-114.96725463867188,-694.8242797851562,471.2694091796875,114.37474822998047
none,none,1.7550924758854758e+18,-93.49404907226562,-51.72829055786133,-41.94491958618164,412.6026916503906,-58.314029693603516,-116.86324310302734,-696.48046875,473.5196228027344,114.108154296875
none,none,1.7550924758954757e+18,-90.21821594238281,-54.13372802734375,-42.10349655151367,414.4366760253906,-58.61990737915039,-118.77694702148438,-698.1434326171875,475.8727722167969,113.83973693847656
/home/pi/360_images/20250813/image_1755092475880791672.png,1755092475880791672,1.7550924759054758e+18,-87.20077514648438,-56.43698501586914,-42.221763610839844,416.28863525390625,-59.0290641784668,-120.7115707397461,-699.616943359375,478.07440185546875,113.5360336303711
none,none,1.755092475915476e+18,-84.41548919677734,-59.03152847290039,-42.403411865234375,418.1459045410156,-59.6905517578125,-122.6017837524414,-701.0242919921875,480.1996765136719,113.29509735107422
none,none,1.7550924759254758e+18,-81.81403350830078,-61.78899002075195,-42.56321716308594,419.71087646484375,-60.28380584716797,-124.47412109375,-702.56396484375,482.6124572753906,113.07402038574219
none,none,1.7550924759354757e+18,-79.05883026123047,-64.59304809570312,-42.709651947021484,421.2867431640625,-60.86046600341797,-126.37266540527344,-704.0161743164062,485.2310485839844,112.83158111572266
none,none,1.7550924759454758e+18,-76.0642318725586,-67.05501556396484,-42.85606384277344,423.0617980957031,-61.583518981933594,-128.2814483642578,-705.5208129882812,487.9084777832031,112.54293823242188
/home/pi/360_images/20250813/image_1755092475947828697.png,1755092475947828697,1.755092475955476e+18,-72.68738555908203,-69.23992156982422,-42.974998474121094,424.88958740234375,-62.428619384765625,-130.2120361328125,-707.0575561523438,490.63079833984375,112.20496368408203
none,none,1.7550924759654758e+18,-69.34539794921875,-71.4822769165039,-43.06941223144531,426.67083740234375,-63.34986877441406,-132.09637451171875,-708.453369140625,493.424560546875,111.91531372070312
none,none,1.7550924759754757e+18,-65.83707427978516,-73.96735382080078,-43.155452728271484,428.347412109375,-64.15303802490234,-133.97694396972656,-710.0419921875,496.3079528808594,111.68074035644531
none,none,1.7550924759854758e+18,-62.73772430419922,-76.16915893554688,-43.2509651184082,429.939208984375,-65.05814361572266,-135.84805297851562,-711.619140625,499.0867614746094,111.4432601928711
none,none,1.755092475995476e+18,-59.56441879272461,-78.57940673828125,-43.42545700073242,431.6009521484375,-66.1238021850586,-137.74411010742188,-713.0863037109375,501.93804931640625,111.21541595458984
/home/pi/360_images/20250813/image_1755092475981193237.png,1755092475981193237,1.7550924760054758e+18,-56.58613204956055,-80.85579681396484,-43.52852249145508,433.1428527832031,-67.17444610595703,-139.6409912109375,-714.6530151367188,504.9999084472656,110.94185638427734
none,none,1.7550924760154757e+18,-53.26609802246094,-83.25888061523438,-43.64447784423828,434.6087646484375,-68.31867218017578,-141.51905822753906,-716.1525268554688,507.9009704589844,110.69764709472656
none,none,1.7550924760254758e+18,-49.6519889831543,-85.35498809814453,-43.720703125,436.073486328125,-69.54556274414062,-143.37139892578125,-717.5792236328125,510.9850769042969,110.51493072509766
none,none,1.755092476035476e+18,-46.303653717041016,-87.63424682617188,-43.796058654785156,437.4203796386719,-70.68311309814453,-145.24688720703125,-718.899658203125,514.0591430664062,110.28450012207031
none,none,1.7550924760454758e+18,-43.13237762451172,-90.1287841796875,-43.988616943359375,438.81298828125,-71.89112854003906,-147.18173217773438,-720.28466796875,517.0911254882812,110.04689025878906
/home/pi/360_images/20250813/image_1755092476048670577.png,1755092476048670577,1.7550924760554757e+18,-40.008056640625,-92.58895111083984,-44.16508865356445,440.2838134765625,-73.27641296386719,-149.1428985595703,-721.4766235351562,520.3643188476562,109.8803939819336
none,none,1.7550924760654758e+18,-36.89246368408203,-95.12677001953125,-44.327392578125,441.5065612792969,-74.70294952392578,-151.0286407470703,-722.599365234375,523.5598754882812,109.72005462646484
none,none,1.755092476075476e+18,-33.760440826416016,-97.43046569824219,-44.43806457519531,442.5651550292969,-76.13385772705078,-152.81832885742188,-723.5962524414062,526.6986694335938,109.56910705566406
none,none,1.7550924760854758e+18,-30.547134399414062,-100.14225769042969,-44.53392028808594,443.7120666503906,-77.53145599365234,-154.70750427246094,-724.6055908203125,529.9700927734375,109.4315185546875
none,none,1.7550924760954757e+18,-27.54431915283203,-102.42649841308594,-44.665462493896484,444.9084777832031,-78.91271209716797,-156.67379760742188,-725.7432861328125,533.1453857421875,109.2983627319336
/home/pi/360_images/20250813/image_1755092476080938525.png,1755092476080938525,1.7550924761054758e+18,-24.7601375579834,-104.78899383544922,-44.86615753173828,446.05548095703125,-80.35877990722656,-158.67782592773438,-726.9545288085938,536.28759765625,109.19503784179688
none,none,1.755092476115476e+18,-21.9869327545166,-106.71257781982422,-45.13108825683594,447.053955078125,-82.15482330322266,-160.59530639648438,-728.3573608398438,539.592529296875,109.1125259399414
none,none,1.7550924761254758e+18,-19.189735412597656,-108.5936279296875,-45.46992874145508,447.80706787109375,-83.67426300048828,-162.45407104492188,-729.9657592773438,542.8709106445312,109.0112533569336
none,none,1.7550924761354757e+18,-16.77669906616211,-110.35693359375,-45.73063278198242,448.58258056640625,-85.10528564453125,-164.37417602539062,-731.5165405273438,546.3832397460938,108.97965240478516
none,none,1.7550924761454758e+18,-14.294800758361816,-112.02619934082031,-45.994686126708984,449.41436767578125,-86.77552032470703,-166.45164489746094,-733.2929077148438,549.9013061523438,108.86996459960938
/home/pi/360_images/20250813/image_1755092476148448513.png,1755092476148448513,1.755092476155476e+18,-12.293697357177734,-113.40048217773438,-46.213157653808594,450.201171875,-88.46604919433594,-168.42359924316406,-734.908447265625,553.3798217773438,108.75548553466797
none,none,1.7550924761654758e+18,-10.454092025756836,-114.93915557861328,-46.37192153930664,450.9380187988281,-90.32687377929688,-170.3505401611328,-736.5037841796875,557.0303955078125,108.60932159423828
none,none,1.7550924761754757e+18,-8.59461498260498,-116.59978485107422,-46.51982116699219,451.7432556152344,-92.13585662841797,-172.30825805664062,-737.956298828125,560.4904174804688,108.3958511352539
none,none,1.7550924761854758e+18,-6.900654315948486,-118.23275756835938,-46.6321907043457,452.43902587890625,-93.80530548095703,-174.314208984375,-739.3644409179688,563.9747924804688,108.21797943115234
none,none,1.755092476195476e+18,-5.278409004211426,-119.69713592529297,-46.702980041503906,453.1092529296875,-95.63114166259766,-176.37986755371094,-740.7376708984375,567.5191650390625,108.08600616455078
/home/pi/360_images/20250813/image_1755092476182375480.png,1755092476182375480,1.7550924762054758e+18,-3.739797353744507,-120.94294738769531,-46.73367691040039,453.57958984375,-97.47518920898438,-178.359130859375,-742.1513671875,570.9349975585938,107.9993896484375
none,none,1.7550924762154757e+18,-2.187452793121338,-122.35187530517578,-46.78745651245117,453.79833984375,-99.30963134765625,179.69398498535156,-743.73828125,574.566650390625,107.85872650146484
none,none,1.7550924762254758e+18,-0.8915237188339233,-123.68101501464844,-46.895774841308594,453.92724609375,-101.1924819946289,177.70314025878906,-745.2349853515625,577.8405151367188,107.72272491455078
none,none,1.755092476235476e+18,0.2459717094898224,-124.75003814697266,-47.075897216796875,454.0724792480469,-102.93797302246094,175.7274627685547,-746.8059692382812,581.6664428710938,107.56568145751953
none,none,1.7550924762454758e+18,1.2932307720184326,-125.45427703857422,-47.26157760620117,454.26904296875,-104.7567367553711,173.7237091064453,-748.3941650390625,585.31982421875,107.42511749267578
none,none,1.7550924762554757e+18,2.52695894241333,-126.13825225830078,-47.441986083984375,454.4523620605469,-106.76885986328125,171.68154907226562,-750.0687866210938,589.045654296875,107.2741470336914
/home/pi/360_images/20250813/image_1755092476182375480.png,1755092476182375480,1.7550924762654758e+18,3.6801774501800537,-126.94249725341797,-47.518917083740234,454.52471923828125,-108.70720672607422,169.61354064941406,-751.6076049804688,592.8109130859375,107.10365295410156
none,none,1.755092476275476e+18,4.429708957672119,-127.76737213134766,-47.62508010864258,454.43450927734375,-110.64306640625,167.60342407226562,-753.129638671875,596.5216674804688,106.92819213867188
none,none,1.7550924762854758e+18,5.070750713348389,-128.5120849609375,-47.721378326416016,454.3717346191406,-112.51435852050781,165.5675811767578,-754.6952514648438,600.5319213867188,106.78349304199219
none,none,1.7550924762954757e+18,5.699356555938721,-129.17514038085938,-47.8264274597168,454.24688720703125,-114.27142333984375,163.50735473632812,-756.2645263671875,604.0647583007812,106.62360382080078
none,none,1.7550924763054758e+18,6.254589557647705,-129.82057189941406,-47.889705657958984,453.9478454589844,-116.22252655029297,161.47906494140625,-757.7802734375,607.95703125,106.475341796875
/home/pi/360_images/20250813/image_1755092476214742335.png,1755092476214742335,1.755092476315476e+18,6.725110054016113,-130.2015380859375,-47.880653381347656,453.5729064941406,-118.20703887939453,159.46217346191406,-759.3016967773438,611.5767822265625,106.3772201538086
none,none,1.7550924763254758e+18,7.137039661407471,-130.38381958007812,-47.888710021972656,453.201171875,-119.94354248046875,157.4489288330078,-760.732177734375,615.62841796875,106.20027923583984
none,none,1.7550924763354757e+18,7.408807754516602,-130.51138305664062,-47.92772674560547,452.9570007324219,-121.80781555175781,155.44923400878906,-762.411865234375,619.667724609375,106.01697540283203
none,none,1.7550924763454758e+18,7.598390102386475,-130.6659698486328,-47.983497619628906,452.6156311035156,-123.75484466552734,153.45388793945312,-763.8369140625,623.80224609375,105.86784362792969
none,none,1.755092476355476e+18,7.708704471588135,-130.74644470214844,-48.02996826171875,452.1257019042969,-125.52351379394531,151.46542358398438,-765.3096923828125,627.6965942382812,105.67144012451172
/home/pi/360_images/20250813/image_1755092476247728690.png,1755092476247728690,1.7550924763654758e+18,7.77777624130249,-130.77191162109375,-48.06367874145508,451.490234375,-127.25119018554688,149.57559204101562,-766.6087036132812,631.4412841796875,105.5237808227539
none,none,1.7550924763754757e+18,7.715611934661865,-130.71470642089844,-48.030277252197266,450.9500732421875,-128.87864685058594,147.68458557128906,-768.1456298828125,635.2689208984375,105.39431762695312
none,none,1.7550924763854758e+18,7.561519145965576,-130.58900451660156,-48.020694732666016,450.3450622558594,-130.4588165283203,145.8299560546875,-769.5892333984375,639.05712890625,105.21656036376953
none,none,1.755092476395476e+18,7.491354942321777,-130.50949096679688,-48.042388916015625,449.5799865722656,-132.17213439941406,143.97470092773438,-770.8862915039062,642.940185546875,104.99752044677734
none,none,1.7550924764054758e+18,7.4784674644470215,-130.5157928466797,-48.047664642333984,448.8330078125,-133.822265625,142.01992797851562,-772.0955200195312,646.7748413085938,104.86292266845703
/home/pi/360_images/20250813/image_1755092476280794564.png,1755092476280794564,1.7550924764154757e+18,7.484985828399658,-130.52963256835938,-48.034812927246094,448.0552062988281,-135.38131713867188,140.11685180664062,-773.3185424804688,650.8589477539062,104.69093322753906
none,none,1.7550924764254758e+18,7.533445358276367,-130.5629119873047,-48.0439567565918,447.3692932128906,-137.21185302734375,138.18099975585938,-774.635498046875,654.975830078125,104.54007720947266
none,none,1.755092476435476e+18,7.566534042358398,-130.57810974121094,-48.04487609863281,446.5981750488281,-138.88427734375,136.25405883789062,-775.9046020507812,658.9600219726562,104.37860870361328
